Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,Date Time
France,Ajaccio,44,Good,1,Good,60,Good,89,Good,7,Good,2024-04-25 15:00:00
India,Mangaldai,64,Moderate,13,Good,59,Good,69,Good,29,Moderate,2024-09-16 03:00:00
Brazil,Carazinho,19,Good,11,Good,72,Good,87,Good,12,Good,2024-01-10 14:00:00
Thailand,Chumphon,41,Good,4,Good,33,Good,44,Good,4,Good,2024-06-24 18:00:00
Pakistan,Sarai Naurang,175,Unhealthy,6,Good,116,Moderate,74,Good,124,Unhealthy,2024-04-15 08:00:00
France,Limeil Brevannes,73,Moderate,6,Good,79,Good,85,Good,13,Moderate,2024-12-14 15:00:00
Italy,Porto Empedocle,65,Moderate,11,Good,6,Good,4,Good,33,Moderate,2024-11-30 01:00:00
India,Polur,60,Moderate,5,Good,116,Good,11,Good,19,Moderate,2024-10-13 19:00:00
India,Cumbum,106,Unhealthy for Sensitive Groups,14,Good,43,Good,36,Good,37,Unhealthy for Sensitive Groups,2024-11-26 23:00:00
France,Saint Benoit,57,Moderate,3,Good,54,Good,91,Good,18,Moderate,2024-03-21 03:00:00
Germany,Tostedt,35,Good,4,Good,81,Good,58,Good,12,Good,2024-04-22 14:00:00
France,Saint Sebastien Sur Loire,32,Good,11,Good,14,Good,15,Good,10,Good,2024-10-18 13:00:00
United Kingdom of Great Britain and Northern Ireland,Salford,58,Moderate,5,Good,83,Good,32,Good,35,Moderate,2024-02-28 22:00:00
India,Silvassa,134,Unhealthy for Sensitive Groups,14,Good,58,Good,93,Good,36,Unhealthy for Sensitive Groups,2024-06-26 20:00:00
Italy,Trebaseleghe,78,Moderate,6,Good,78,Good,5,Good,34,Moderate,2024-10-03 23:00:00
Guatemala,San Pedro Sacatepequez,57,Moderate,6,Good,17,Good,91,Good,34,Moderate,2024-01-28 22:00:00
Montenegro,Niksic,79,Moderate,0,Good,95,Good,55,Good,15,Moderate,2024-09-21 10:00:00
Madagascar,Nosy Varika,25,Good,2,Good,54,Good,13,Good,6,Good,2024-12-14 06:00:00
Spain,Martorell,36,Good,14,Good,32,Good,8,Good,2,Good,2024-03-12 02:00:00
India,Tirur,71,Moderate,13,Good,41,Good,74,Good,33,Moderate,2024-01-13 16:00:00
Germany,Rehburg Loccum,43,Good,12,Good,52,Good,74,Good,10,Good,2024-02-15 02:00:00
Brazil,Vitoria Da Conquista,38,Good,6,Good,88,Good,52,Good,12,Good,2024-04-19 21:00:00
United States of America,Fairview Heights,45,Good,4,Good,16,Good,62,Good,4,Good,2024-11-07 03:00:00
India,Sanquelim,84,Moderate,4,Good,14,Good,90,Good,32,Moderate,2024-07-12 20:00:00
Belgium,Soignies,49,Good,1,Good,7,Good,35,Good,8,Good,2024-04-28 15:00:00
Brazil,Sertanopolis,36,Good,1,Good,80,Good,93,Good,8,Good,2024-12-23 16:00:00
Cameroon,Guider,76,Moderate,8,Good,109,Good,37,Good,13,Moderate,2024-09-22 07:00:00
Afghanistan,Geresk,106,Unhealthy for Sensitive Groups,4,Good,87,Good,89,Good,45,Unhealthy for Sensitive Groups,2024-07-03 01:00:00
United States of America,Edison,50,Good,13,Good,29,Good,78,Good,6,Good,2024-01-18 18:00:00
Germany,Bad Langensalza,32,Good,12,Good,68,Good,66,Good,7,Good,2024-03-01 19:00:00
France,Pessac,54,Moderate,7,Good,46,Good,92,Good,29,Moderate,2024-05-10 20:00:00
Philippines,Katipunan,152,Unhealthy,2,Good,108,Good,54,Good,130,Unhealthy,2024-01-09 04:00:00
Slovenia,Celje,85,Moderate,8,Good,49,Good,78,Good,13,Moderate,2024-03-30 23:00:00
China,Shangqiu,132,Unhealthy for Sensitive Groups,0,Good,35,Unhealthy for Sensitive Groups,72,Good,35,Moderate,2024-07-07 01:00:00
South Africa,Fochville,154,Unhealthy,2,Good,90,Good,81,Good,64,Unhealthy,2024-08-02 22:00:00
Belgium,Herzele,51,Moderate,11,Good,55,Good,46,Good,13,Moderate,2024-05-06 02:00:00
United States of America,Beeville,36,Good,12,Good,55,Good,3,Good,1,Good,2024-08-18 11:00:00
Brazil,Varzea Alegre,22,Good,1,Good,14,Good,84,Good,7,Good,2024-03-06 16:00:00
United States of America,Glen Allen,53,Moderate,9,Good,2,Good,21,Good,25,Moderate,2024-06-14 00:00:00
India,Botad,127,Unhealthy for Sensitive Groups,4,Good,39,Good,96,Good,49,Unhealthy for Sensitive Groups,2024-03-19 05:00:00
Greece,Ioannina,69,Moderate,11,Good,62,Good,30,Good,27,Moderate,2024-08-18 01:00:00
El Salvador,Gotera,95,Moderate,0,Good,45,Good,23,Good,16,Moderate,2024-12-07 06:00:00
Ukraine,Chernyakhiv,56,Moderate,9,Good,93,Good,21,Good,30,Moderate,2024-02-19 15:00:00
Spain,San Lorenzo De El Escorial,23,Good,11,Good,77,Good,17,Good,1,Good,2024-09-16 06:00:00
Poland,Szamotuly,51,Moderate,7,Good,73,Good,29,Good,27,Moderate,2024-07-09 23:00:00
Portugal,Lamego,25,Good,10,Good,90,Good,44,Good,9,Good,2024-04-30 09:00:00
Italy,Bracciano,41,Good,8,Good,9,Good,82,Good,2,Good,2024-09-16 15:00:00
United States of America,Woonsocket,42,Good,7,Good,108,Good,77,Good,10,Good,2024-04-11 09:00:00
Panama,Panama,61,Moderate,10,Good,53,Good,44,Good,15,Moderate,2024-04-08 09:00:00
United Republic of Tanzania,Bugarama,45,Good,14,Good,73,Good,75,Good,5,Good,2024-12-18 09:00:00
Thailand,Phon,93,Moderate,13,Good,12,Good,12,Good,22,Moderate,2024-07-12 17:00:00
India,Bhander,166,Unhealthy,10,Good,38,Unhealthy for Sensitive Groups,34,Good,150,Unhealthy,2024-06-01 18:00:00
India,Karimganj,129,Unhealthy for Sensitive Groups,0,Good,114,Good,39,Good,44,Unhealthy for Sensitive Groups,2024-06-22 21:00:00
Viet Nam,Cao Bang,47,Good,9,Good,29,Good,73,Good,7,Good,2024-04-01 12:00:00
Russian Federation,Kurskaya,40,Good,6,Good,22,Good,55,Good,4,Good,2024-04-17 20:00:00
Brazil,Palmares,45,Good,10,Good,73,Good,38,Good,10,Good,2024-07-22 18:00:00
India,Sidhi,162,Unhealthy,12,Good,92,Unhealthy,58,Good,110,Unhealthy,2024-12-21 11:00:00
Myanmar,Loikaw,15,Good,5,Good,105,Good,20,Good,7,Good,2024-08-03 21:00:00
Netherlands,Harenkarspel,38,Good,1,Good,90,Good,40,Good,0,Good,2024-12-27 16:00:00
Lesotho,Quthing,77,Moderate,0,Good,49,Good,71,Good,18,Moderate,2024-05-27 18:00:00
Belgium,Brugge,37,Good,0,Good,1,Good,23,Good,11,Good,2024-05-22 07:00:00
France,Enghien Les Bains,55,Moderate,12,Good,113,Good,59,Good,18,Moderate,2024-06-19 18:00:00
Poland,Szamotuly,51,Moderate,12,Good,96,Good,46,Good,16,Moderate,2024-11-16 09:00:00
Poland,Zory,68,Moderate,0,Good,15,Good,71,Good,16,Moderate,2024-01-08 17:00:00
United States of America,Taylors,58,Moderate,4,Good,55,Good,84,Good,24,Moderate,2024-01-25 06:00:00
Brazil,Novo Cruzeiro,23,Good,2,Good,34,Good,92,Good,7,Good,2024-04-11 01:00:00
United States of America,Berkley,85,Moderate,7,Good,83,Good,67,Good,15,Moderate,2024-10-11 21:00:00
India,Karauli,213,Very Unhealthy,3,Good,2,Good,18,Good,199,Very Unhealthy,2024-12-24 01:00:00
United Kingdom of Great Britain and Northern Ireland,Havant,41,Good,12,Good,22,Good,53,Good,2,Good,2024-03-08 12:00:00
Honduras,Cofradia,74,Moderate,4,Good,97,Good,17,Good,17,Moderate,2024-03-14 09:00:00
Nigeria,Port Harcourt,179,Unhealthy,10,Good,54,Good,94,Good,147,Unhealthy,2024-11-17 11:00:00
Russian Federation,Uzhur,33,Good,13,Good,104,Good,48,Good,12,Good,2024-12-13 07:00:00
India,Rajur,150,Unhealthy,4,Good,69,Good,45,Good,68,Unhealthy,2024-04-29 22:00:00
Japan,Inuyama,47,Good,13,Good,3,Good,23,Good,10,Good,2024-05-08 13:00:00
Czechia,Pisek,66,Moderate,14,Good,9,Good,7,Good,20,Moderate,2024-11-21 11:00:00
Netherlands,Bussum,38,Good,14,Good,34,Good,91,Good,11,Good,2024-04-11 10:00:00
Congo,Kinkala,68,Moderate,13,Good,47,Good,43,Good,35,Moderate,2024-10-31 07:00:00
Brazil,Barreirinha,25,Good,4,Good,30,Good,88,Good,6,Good,2024-06-09 21:00:00
India,Bali Chak,166,Unhealthy,7,Good,7,Moderate,37,Good,102,Unhealthy,2024-04-27 20:00:00
United States of America,South Lake Tahoe,54,Moderate,8,Good,33,Good,45,Good,13,Moderate,2024-11-26 00:00:00
Russian Federation,Meleuz,36,Good,2,Good,77,Good,76,Good,3,Good,2024-12-21 06:00:00
United States of America,Grand Haven,53,Moderate,3,Good,0,Good,98,Good,13,Moderate,2024-01-08 21:00:00
Guatemala,Cubulco,77,Moderate,10,Good,94,Good,17,Good,22,Moderate,2024-08-06 16:00:00
